Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
啊	啊	a	ah	ah	啊，你来了！	Ah, you've come!	¡Ah, has venido!	哦 (ó) - oh	哦 (ó) - oh	表示惊讶、感叹的语气词	a particle expressing surprise or exclamation	partícula que expresa sorpresa o exclamación
爱好	愛好	àihào	hobby	afición	我的爱好是画画。	My hobby is painting.	Mi afición es pintar.	兴趣 (xìngqù) - interest	兴趣 (xìngqù) - interés	因兴趣而经常从事的活动	an activity regularly pursued out of personal interest	actividad que se practica con frecuencia por interés personal
白色	白色	báisè	white	blanco	她喜欢穿白色的衣服。	She likes to wear white clothes.	A ella le gusta llevar ropa blanca.			像雪一样的颜色	the color of snow	color como el de la nieve
班	班	bān	class	clase	我们班有三十个学生。	There are thirty students in our class.	Hay treinta estudiantes en nuestra clase.	班级 (bānjí) - class	班级 (bānjí) - clase	学校里的教学单位	a class or group in a school	unidad de enseñanza en una escuela
帮	幫	bāng	to help	ayudar	你能帮我一下吗？	Can you help me for a moment?	¿Puedes ayudarme un momento?	帮助 (bāngzhù) - to help	帮助 (bāngzhù) - ayudar	出力使人得到好处或摆脱困难	to lend effort so someone benefits or gets out of trouble	dar ayuda para que alguien se beneficie o salga de una dificultad
帮忙	幫忙	bāngmáng	to help	ayudar	谢谢你来帮忙。	Thank you for coming to help.	Gracias por venir a ayudar.	帮助 (bāngzhù) - to help	帮助 (bāngzhù) - ayudar	帮助别人做事	to help someone with a task	ayudar a alguien a hacer algo
包	包	bāo	bag	bolsa	她的包里有很多书。	There are many books in her bag.	Hay muchos libros en su bolsa.			用皮、布等做成的盛东西的用具	a container made of leather, cloth, etc., for carrying things	recipiente hecho de cuero, tela, etc., para llevar cosas
本子	本子	běnzi	notebook	cuaderno	请把本子拿出来。	Please take out your notebook.	Por favor, saca tu cuaderno.			装订成册用来写字的本	a bound notebook for writing	cuaderno encuadernado para escribir
比	比	bǐ	to compare	comparar	今天比昨天冷。	Today is colder than yesterday.	Hoy hace más frío que ayer.			用一种事物与另一种事物较量高低	to measure one thing against another	comparar una cosa con otra
笔	筆	bǐ	pen	bolígrafo	这支笔是我的。	This pen is mine.	Este bolígrafo es mío.			用来写字画画的工具	a tool for writing or drawing	herramienta para escribir o dibujar
别	別	bié	don't	no	别担心，没问题。	Don't worry, it's no problem.	No te preocupes, no hay problema.	不要 (búyào) - don't	不要 (búyào) - no (imperativo)	用在祈使句里，表示禁止或劝阻	used in imperative sentences to express prohibition	se usa en oraciones imperativas para expresar prohibición
